kode,nama_bahan,air,energi,protein,lemak,kh,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,gula,kategori,sumber
CO042,"Keripik tempe abadi
murni",3.2,542.0,40.3,42.4,11.6,2.2,2.7,175.0,529.0,5.2,,,,,,,50.0,0.1,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO043,"Keripik tempe abadi
sedang",4.4,510.0,12.3,27.9,52.4,3.6,3.1,122.0,211.0,8.4,,,,,,,0.0,0.52,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO044,"Keripik tempe abadi
telur",4.5,529.0,20.8,31.7,40.2,3.0,2.9,124.0,222.0,5.4,,,,,,,0.0,0.86,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO045,"Kerupik tempe abadi
prima",4.8,540.0,16.7,33.9,42.0,2.2,2.6,92.0,184.0,3.2,,,,,,,1080.0,0.38,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO046,Kwaci,9.9,515.0,30.6,42.1,13.8,13.6,3.7,54.0,312.0,6.2,124.0,448.6,0.65,9.7,0.0,,,0.02,0.19,0.3,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO047,"Melinjo emping tebal
goreng manis",5.6,439.0,10.0,16.4,65.7,,2.3,66.0,225.0,,,,,,,,0.0,0.1,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO048,"Melinjo emping tebal,
goreng asin",8.0,431.0,11.1,16.2,63.0,,1.6,77.0,,,,,,,,,0.0,0.08,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO049,"Melinjo emping tipis
goreng",3.3,485.0,11.5,24.5,59.1,,1.5,85.0,218.0,,,,,,,,0.0,0.11,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO050,Moon tahu,79.9,128.0,8.0,10.0,1.3,0.2,0.8,205.0,92.0,2.5,393.0,,,,131.0,,5300.0,0.46,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO051,Oncom,57.0,187.0,13.0,6.0,22.6,,1.4,96.0,115.0,27.0,,,,,0.0,,,0.09,0.0,1.6,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO052,"Oncom ampas kacang
hijau",13.4,376.0,14.9,6.0,65.7,12.3,1.7,199.0,110.0,10.9,,,,,,,,0.03,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO053,"Oncom kacang hijau +
singkong",16.5,351.0,11.0,5.3,65.9,9.0,1.3,164.0,113.0,7.8,,,,,,,,0.01,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO054,"Oncom kacang tanah
pepes",65.0,132.0,12.7,3.8,13.7,3.1,4.8,133.0,355.0,34.4,,,,,,,10.0,0.08,0.2,0.7,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO055,"Rempeyek kacang
tanah",3.9,513.0,17.5,32.5,44.3,1.7,1.8,65.0,202.0,2.6,,,,,,,0.0,0.1,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO056,Rempeyek kacang tolo,6.1,451.0,11.2,20.2,59.7,1.8,2.8,156.0,221.0,4.6,,,,,,,0.0,0.02,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO057,Rempeyek kacang uci,4.0,497.0,17.0,27.6,50.8,2.4,3.4,166.0,89.0,6.7,,,,,,,0.0,0.05,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO058,Sayur lebui,83.9,64.0,2.1,0.6,12.5,5.7,0.9,21.0,2.0,1.0,124.0,146.0,0.2,0.7,,14.0,,,0.0,0.1,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO059,"Saridele, bubuk",3.0,344.0,30.0,20.0,43.0,6.2,4.0,450.0,500.0,4.0,56.0,2572.3,2.99,4.0,,0.0,2000.0,0.7,0.16,2.0,10.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO060,Susu kedelai,87.0,41.0,3.5,2.5,5.0,0.2,2.0,50.0,45.0,0.7,128.0,287.9,0.12,1.0,,,200.0,0.08,0.05,0.7,2.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO061,"Tahu, mentah",82.2,80.0,10.9,4.7,0.8,0.1,1.4,223.0,183.0,3.4,2.0,50.6,0.19,0.8,,118.0,,0.01,0.08,0.1,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO062,Tahu goreng,77.3,115.0,9.7,8.5,2.5,0.1,2.0,229.0,200.0,4.1,7.0,68.2,0.09,1.3,,0.0,0.0,0.01,0.24,0.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO063,Tahu telur,41.8,328.0,12.6,19.9,24.6,0.4,1.1,492.0,238.0,4.9,755.0,,,,73.0,,1860.0,0.42,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO064,Takwa,72.2,148.0,13.8,8.5,4.0,0.0,1.6,140.0,214.0,8.5,3.0,79.0,0.3,1.3,,,920.0,0.2,0.1,0.8,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO065,Tauco,54.0,184.0,11.4,5.5,22.2,1.9,6.9,72.0,463.0,6.0,1766.0,233.0,0.39,1.0,,0.0,664.0,0.32,0.2,0.8,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO066,"Tauco cap beruang,
cake",11.4,347.0,7.4,5.2,67.6,3.2,8.4,63.0,106.0,6.2,,,,,,,936.0,0.35,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO067,"Tauco cap DAS, cake",10.2,358.0,7.5,4.3,70.4,3.1,7.6,94.0,94.0,4.5,,,,,,,504.0,0.29,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO068,Tauco cap meong,59.7,159.0,7.4,4.9,21.3,1.6,6.7,183.0,84.0,10.1,1547.0,204.1,0.34,0.9,,0.0,472.0,0.46,0.18,0.7,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO069,Tauji cap singa,30.4,277.0,9.1,4.7,49.6,1.2,6.2,68.0,106.0,3.0,,,,,,,936.0,0.15,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO070,Tempe bongkrek,72.5,119.0,4.4,3.5,18.3,,,27.0,100.0,2.6,,,,,0.0,,,0.08,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO071,Tempe gembus P3G,81.9,73.0,5.7,1.3,10.3,4.2,0.8,204.0,80.0,1.5,,,,,,,22.0,0.09,0.1,0.9,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO072,Tempe gembus yogya,80.7,76.0,6.8,0.7,10.6,5.3,1.1,76.0,142.0,16.5,,,,,,,,0.79,0.01,0.1,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO073,Tempe kacang babi,64.0,139.0,12.5,0.8,21.9,1.8,1.2,68.0,182.0,2.6,,,,,,,20.0,0.1,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO074,"Tempe kacang
belimbing",58.2,212.0,17.5,10.0,12.9,2.9,1.4,186.0,160.0,2.2,,,,,,,,0.2,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO075,"Tempe kedelai +
jagung",70.6,143.0,12.0,5.5,11.4,1.9,0.6,155.0,156.0,6.8,,,,,,,1320.0,0.33,0.15,1.2,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO076,"Tempe kedelai murni,
goreng",36.8,350.0,24.5,26.6,10.4,4.2,1.8,202.0,296.0,4.9,22.0,626.7,0.8,2.5,,,78.0,0.24,0.6,3.3,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO077,"Tempe kedelai murni,
mentah",55.3,201.0,20.8,8.8,13.5,1.4,1.6,155.0,326.0,4.0,9.0,234.0,0.57,1.7,,0.0,,0.19,0.59,4.9,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO078,Tempe koro benguk,64.0,141.0,10.2,1.3,23.2,,1.3,42.0,15.0,2.6,,,,,0.0,,,0.09,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO079,Tempe lamtoro,66.8,128.0,10.7,0.5,21.3,7.1,0.7,203.0,108.0,0.6,,,,,,,121.0,0.17,,,2.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO080,"Tempe lamtoro var,
gung dengan kulit",65.1,146.0,11.7,2.3,19.6,7.6,1.3,128.0,41.0,6.8,,,,,,,1370.0,0.19,,1.4,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO081,"Tempe lamtoro var,
gung tanpa kulit",67.1,131.0,18.0,0.8,13.0,1.3,1.1,95.0,154.0,12.4,,,,,,,5900.0,0.2,0.02,2.6,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO082,Tempe pasar,68.3,150.0,14.0,7.7,9.1,1.4,0.9,517.0,202.0,1.5,7.0,165.9,0.4,1.2,,0.0,,0.17,0.44,3.6,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO083,Tempe pasar goreng,42.9,336.0,20.0,28.0,7.8,3.4,1.3,156.0,350.0,3.0,20.0,566.2,0.8,2.2,,,10.0,0.1,0.5,3.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO084,"Tepung hunkwe (pati
kacang ijo)",10.0,364.0,4.5,1.0,83.5,16.1,1.0,50.0,100.0,1.0,15.0,1232.9,0.93,2.7,0.0,,,0.0,0.23,2.2,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO085,Tepung Jalejo,10.0,388.0,19.0,7.5,61.2,5.8,2.3,101.0,663.0,2.0,3.0,712.0,0.6,1.9,,,0.0,0.02,0.7,1.6,9.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
CO086,Tepung kacang kedelai,9.0,347.0,35.9,20.6,29.9,5.8,4.0,195.0,544.0,8.4,52.0,2522.6,,2.6,,0.0,140.0,0.77,0.32,2.1,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM001,"Akar tonjong, segar",86.7,45.0,1.1,0.4,10.8,1.2,1.0,72.0,125.0,1.3,96.0,1147.1,0.02,0.2,0.0,83.0,90.0,0.02,0.03,1.9,2.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM002,"Ale,toge, segar",90.6,37.0,4.4,0.5,3.8,1.7,0.7,50.0,248.0,2.0,2.0,105.0,0.16,0.4,0.0,0.0,35.0,0.02,0.09,0.6,46.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM003,"Andaliman, segar",74.2,99.0,4.6,1.0,18.0,8.5,2.2,383.0,107.0,2.9,,,,,0.0,,6300.0,3.0,,,15.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM004,"Andewi, segar",91.8,226.0,1.6,0.2,5.3,4.1,1.1,33.0,66.0,1.0,29.0,414.6,0.13,1.0,,1717.0,,0.14,0.09,0.5,10.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM005,"Bakung, segar",92.5,27.0,2.0,0.2,4.2,3.8,1.1,19.0,20.0,0.5,37.0,340.0,0.2,0.3,,1080.0,,0.2,0.1,0.3,42.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM006,"Baligo, segar",96.1,15.0,0.4,0.2,3.0,0.4,0.3,19.0,19.0,0.4,2.0,131.1,0.02,0.6,,0.0,,0.04,0.02,0.3,13.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM007,"Bawang bombay,
segar",87.5,43.0,1.4,0.2,10.3,2.0,0.6,32.0,44.0,0.5,12.0,9.6,0.1,0.3,,788.0,50.0,0.03,0.21,0.4,9.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM008,"Bayam, segar",94.5,16.0,0.9,0.4,2.9,0.7,1.3,166.0,76.0,3.5,16.0,456.4,0.13,0.4,,2699.0,2293.0,0.04,0.1,1.0,41.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM009,"Bayam merah, segar",88.5,41.0,2.2,0.8,6.3,2.2,2.2,520.0,80.0,7.0,20.0,60.0,0.2,0.8,0.0,7325.0,,0.2,0.1,0.1,62.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM010,"Bit, segar",87.6,41.0,1.6,0.1,9.6,2.6,1.1,27.0,43.0,1.0,29.0,404.9,0.2,0.7,,0.0,20.0,0.02,0.05,0.3,10.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM011,Buah kelor,89.5,38.0,1.5,0.2,7.5,3.2,1.3,30.0,54.0,0.0,48.0,216.0,0.0,0.2,,31.0,,0.1,0.1,4.1,25.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM012,Buah merah,81.2,87.0,2.6,2.7,13.1,4.0,0.4,30.0,1.0,1.1,110.0,140.0,0.1,0.3,0.0,0.0,,1.5,0.1,0.2,15.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM013,"Buncis, segar",89.6,34.0,2.4,0.3,7.2,1.9,0.5,101.0,42.0,0.7,8.0,250.0,0.07,0.3,0.0,772.0,550.0,0.05,0.4,2.8,11.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM014,"Bunga pepaya, segar",87.3,45.0,2.6,0.3,8.1,1.6,1.7,290.0,113.0,4.2,2.0,478.3,0.08,0.8,,2792.0,5.0,0.01,0.28,1.0,23.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM015,"Bunga turi, segar",90.4,42.0,2.0,1.1,6.1,3.3,0.4,28.0,23.0,0.8,29.0,97.4,0.1,0.6,,1200.0,0.0,0.5,0.02,0.4,1.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM016,"Caisin, segar",93.6,20.0,1.7,0.4,3.4,1.2,0.9,123.0,40.0,1.9,18.0,358.2,0.05,1.4,,1675.0,4188.0,0.04,0.19,0.6,3.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM017,"Daun bangun-bangun,
segar",92.5,27.0,1.3,0.6,4.0,1.0,1.6,279.0,40.0,13.6,4.0,144.0,,,,1489.0,13288.0,0.16,0.1,0.0,5.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM018,"Daun bawang  merah,
segar",89.1,41.0,2.0,0.3,7.8,2.1,0.8,60.0,40.0,2.3,30.0,90.0,0.1,0.3,0.0,218.0,,0.1,0.1,0.2,11.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM019,"Daun bebuas, segar",87.9,41.0,2.7,1.0,7.3,2.1,1.1,29.0,245.0,1.5,,,,,0.0,,3099.0,0.01,,,3.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM020,"Daun belem, segar",84.6,50.0,4.4,1.4,7.8,1.9,1.8,698.0,151.0,7.5,,,,,0.0,,13072.0,0.05,,,21.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM021,"Daun bluntas, segar",86.0,44.0,1.8,0.5,9.4,,2.3,256.0,49.0,5.6,,,,,,,3980.0,0.02,,,30.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM022,"Daun gandaria, segar",81.0,63.0,3.1,0.3,14.0,2.1,1.6,40.0,45.0,4.7,3.0,127.7,,,,503.0,600.0,0.04,0.04,0.2,61.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM023,"Daun gedi besar, segar",84.0,58.0,2.9,0.7,10.0,3.3,2.4,440.0,100.0,1.9,30.0,40.0,0.2,2.1,,596.0,,0.4,0.5,2.8,11.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM024,"Daun gedi kecil, segar",83.7,61.0,3.2,0.7,10.4,3.4,2.0,420.0,70.0,1.7,20.0,50.0,0.1,1.4,,607.0,,0.4,0.3,2.9,11.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM025,"Daun gelang, segar",90.3,30.0,1.3,0.7,5.8,1.3,1.9,350.0,210.0,11.9,5.0,333.3,0.31,1.2,0.0,4701.0,1954.0,0.01,0.14,0.7,1.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM026,"Daun gunda bali,
segar",86.4,50.0,4.6,0.9,7.0,1.4,1.1,167.0,62.0,0.5,,,,,0.0,,6571.0,0.05,,,20.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM027,"Daun gunda serang,
segar",84.6,62.0,4.2,0.9,9.2,1.3,1.1,171.0,64.0,0.6,,,,,0.0,,7347.0,0.02,,,20.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM028,"Daun jambu mete
muda, segar",78.0,78.0,4.6,0.5,16.2,3.0,0.7,33.0,64.0,8.9,14.0,670.5,,,,4484.0,2689.0,0.02,1.12,1.1,65.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM029,"Daun jampang, segar",88.9,34.0,3.8,0.5,5.3,1.4,1.5,21.0,245.0,1.0,,,,,0.0,,4357.0,0.03,,,3.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM030,"Daun jawaw seluang,
segar",77.2,93.0,5.0,1.3,15.3,3.9,1.2,146.0,103.0,5.3,2.0,434.0,0.5,1.5,,,,0.1,0.7,,9.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM031,"Daun jonghe, segar",91.4,27.0,2.1,0.7,4.4,2.0,1.4,253.0,192.0,9.5,,,,,0.0,,5057.0,0.01,,,1.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM032,"Daun kacang ma,
segar",89.1,36.0,2.9,0.6,6.8,1.8,0.6,64.0,220.0,2.2,7.0,485.3,0.2,0.3,,2893.0,4377.0,0.04,0.18,1.2,4.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM033,"Daun kacang panjang,
segar",89.7,30.0,3.1,0.3,5.8,1.7,1.1,200.0,66.0,4.5,7.0,458.6,0.2,0.3,0.0,2734.0,4592.0,0.33,0.2,1.1,30.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM034,"Daun kasbi/singkong
karet, segar",80.3,92.0,4.0,3.6,10.9,5.8,1.2,140.0,70.0,1.6,70.0,90.0,0.3,1.1,,9999.0,,0.1,0.2,0.1,74.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM035,"Daun katuk, segar",81.0,59.0,6.4,1.0,9.9,1.5,1.7,233.0,98.0,3.5,21.0,478.8,0.3,1.3,,9152.0,10020.0,0.0,0.31,2.3,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM036,"Daun kecipir, segar",85.0,52.0,5.0,0.5,8.5,,1.0,134.0,81.0,6.2,6.0,114.0,0.3,0.8,,3981.0,5240.0,0.28,0.4,2.2,29.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM037,"Daun kedondong,
segar",81.0,59.0,3.5,0.3,13.4,10.7,1.8,540.0,82.0,6.2,12.0,579.0,,,,1624.0,2900.0,0.06,0.2,1.5,29.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM038,"Daun kelor, segar",75.5,92.0,5.1,1.6,14.3,8.2,3.5,1077.0,76.0,6.0,61.0,298.0,0.1,0.6,,3266.0,,0.3,0.1,4.2,22.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM039,"Daun kemang, segar",85.0,43.0,5.5,0.3,7.5,8.4,1.7,35.0,106.0,1.0,10.0,457.1,,,,1282.0,1017.0,0.06,0.1,1.2,30.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM040,"Daun kenikir, segar",87.6,45.0,3.7,0.5,6.6,5.8,1.7,328.0,65.0,2.7,6.0,431.0,0.1,0.6,,30200.0,12.0,0.5,0.3,4.5,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM041,"Daun kesum, segar",84.8,48.0,4.5,0.8,9.1,1.6,0.8,125.0,142.0,2.6,11.0,174.7,0.4,1.2,0.0,4216.0,8715.0,0.01,0.1,1.6,4.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM042,"Daun kol sawi, segar",93.1,22.0,2.1,0.5,3.6,0.9,0.7,200.0,92.0,3.2,19.0,386.2,0.1,0.2,0.0,1806.0,2177.0,0.03,0.2,0.6,3.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM043,"Daun koro, segar",91.0,23.0,3.0,0.3,3.7,,2.0,134.0,81.0,6.2,4.0,68.4,0.2,0.5,,2386.0,5240.0,0.28,0.2,1.3,29.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM044,"Daun kubis, segar",86.2,51.0,2.5,1.1,8.0,3.4,2.2,100.0,50.0,3.4,50.0,100.0,0.9,0.6,,9999.0,,0.4,0.1,0.2,16.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM045,"Daun kumak, segar",95.2,14.0,1.3,0.3,2.3,0.9,0.9,90.0,59.0,2.7,2.0,36.5,0.1,0.3,,1274.0,2961.0,0.01,0.0,0.5,3.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM046,"Daun labu siam, segar",89.7,34.0,4.0,0.4,4.7,3.5,1.2,58.0,70.0,2.5,16.0,630.7,0.2,0.3,,4773.0,2025.0,0.08,0.4,1.7,16.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM047,"Daun labu
waluh/kuning, segar",89.7,34.0,3.6,0.6,4.5,2.9,1.6,138.0,99.0,3.7,16.0,630.7,0.2,0.3,,1258.0,2750.0,0.14,0.2,1.3,36.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM048,"Daun lamtoro, segar",74.0,87.0,8.3,1.8,14.4,3.3,1.5,725.0,174.0,3.9,10.0,197.7,0.5,1.4,0.0,6900.0,13040.0,0.0,0.1,2.3,32.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM049,"Daun leilem, segar",79.4,76.0,2.8,0.2,15.8,3.1,1.8,296.0,22.0,3.4,6.0,46.0,0.5,1.1,,753.0,,0.3,0.1,2.5,22.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM050,"Daun leunca, segar",85.0,49.0,4.7,0.5,8.1,,1.7,210.0,80.0,6.1,,,,,,,1900.0,0.14,,,40.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM051,"Daun lobak, segar",90.0,30.0,2.3,0.4,5.8,3.2,1.4,140.0,33.0,3.7,16.0,747.4,0.2,0.2,,5039.0,1000.0,0.07,1.1,6.5,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM052,"Daun lompong talas,
segar",87.2,44.0,3.0,0.8,7.4,3.3,1.6,76.0,59.0,1.0,3.0,578.4,0.2,0.4,,2584.0,2000.0,0.08,0.4,1.4,31.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM053,"Daun mangkokan,
segar",82.0,57.0,3.7,0.3,11.8,,2.2,474.0,49.0,4.0,,,,,,,5450.0,0.06,,,83.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM054,"Daun matel ambon,
segar",77.1,71.0,6.8,1.6,11.5,4.6,3.0,93.0,95.0,10.2,,,,,0.0,,49.0,0.08,,,26.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM055,"Daun melinjo, segar",70.8,104.0,5.0,1.3,21.3,10.3,1.6,219.0,82.0,4.2,12.0,604.8,0.4,0.6,,823.0,10000.0,0.09,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM056,"Daun mengkudu,
segar",80.9,65.0,4.0,1.7,11.4,3.9,2.0,296.0,40.0,6.9,,,,,0.0,2.0,4958.0,0.01,0.1,5.7,35.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM057,"Daun ndusuk, segar",56.0,166.0,1.7,0.5,38.8,10.7,3.0,40.0,20.0,1.8,40.0,310.0,0.2,0.7,,14457.0,,0.4,0.1,0.1,30.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM058,"Daun oyong, segar",93.0,22.0,1.0,0.1,5.3,2.0,0.6,21.0,44.0,2.0,40.0,295.5,0.1,0.2,,855.0,1000.0,0.08,0.1,0.8,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM059,"Daun pakis, segar",86.8,39.0,4.5,0.4,6.9,2.0,1.4,136.0,159.0,2.3,20.0,201.9,0.2,0.3,0.0,1625.0,3292.0,0.02,0.1,0.5,3.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM060,"Daun pakis longgiho,
segar",89.5,54.0,2.2,3.6,3.1,2.1,1.6,40.0,80.0,0.7,70.0,500.0,0.4,0.1,,168.0,,0.4,0.3,0.2,8.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM061,"Daun pakis
wambateu, segar",86.9,53.0,3.4,1.2,7.2,4.8,1.3,30.0,100.0,0.3,20.0,200.0,0.2,0.3,,191.0,,0.7,0.2,0.3,6.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM062,"Daun paku, segar",88.8,29.0,3.4,0.1,6.5,4.3,1.2,13.0,88.0,1.3,19.0,434.0,0.5,0.7,,18.0,,0.2,0.1,11.7,10.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM063,"Daun pangi,segar",76.1,104.0,3.9,0.6,17.9,8.3,1.5,256.0,22.0,1.8,4.0,266.0,1.7,0.5,,55.0,,0.4,0.1,0.1,23.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM064,"Daun pare, segar",87.3,49.0,2.7,1.0,8.4,3.0,1.6,217.0,70.0,3.3,7.0,498.0,0.4,1.2,,1800.0,,0.4,0.2,0.6,7.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM065,"Daun pepaya, segar",75.4,87.0,8.0,2.0,11.9,1.5,2.7,353.0,63.0,0.8,4.0,926.6,0.2,1.5,,5409.0,18250.0,0.15,0.5,1.9,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM066,"Daun pohpohan, segar",87.4,37.0,2.5,0.8,6.9,2.6,2.4,744.0,80.0,5.9,,,,,0.0,,7378.0,0.03,,,5.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM067,"Daun selasih, segar",83.1,62.0,4.0,0.5,10.5,5.3,1.9,122.0,16.0,13.9,3.0,259.0,0.4,0.7,0.0,4112.0,,0.5,0.1,0.2,24.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM068,"Daun semanggi, segar",84.7,45.0,4.4,0.5,8.5,1.9,1.9,98.0,90.0,7.0,64.0,520.7,0.5,0.3,0.0,64.0,3365.0,0.01,0.5,0.7,6.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM069,"Daun simpur, segar",86.2,53.0,3.2,2.5,7.6,1.6,0.9,228.0,194.0,3.5,,,,,0.0,,3346.0,0.02,,,5.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM070,"Daun singkil, segar",80.9,68.0,2.0,1.0,15.2,3.3,0.9,178.0,86.0,2.1,,,,,,,6042.0,0.02,,,3.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM071,"Daun singkong, segar",84.4,50.0,6.2,1.1,7.1,2.4,1.2,166.0,99.0,1.3,17.0,23.1,0.1,2.0,0.0,3204.0,7052.0,0.04,0.1,1.8,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM072,"Daun singkong
ambon, segar",58.0,144.0,12.7,1.2,25.2,10.2,2.9,165.0,54.0,3.9,44.0,62.2,0.2,5.4,,8627.0,13000.0,0.21,1.0,4.2,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
DM073,"Daun singkong
ampenan, segar",84.4,50.0,6.2,1.1,7.1,2.4,1.2,352.0,123.0,2.7,49.0,570.0,0.2,1.3,,7917.0,,0.5,0.1,1.6,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
