KODE,NAMA BAHAN,AIR (g),Energi (Kal),Protein (g),LEMAK,KH (g),SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,GULA
ST043,Nutrive BENECOL,0.00,60.00,1.00,2.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
ST044,Blueberry CIMORY YOGURT DRINK,0.00,71.43,2.86,2.86,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.57
ST045,Berry smooth YOFORIA,0.00,65.00,2.00,1.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
ST046,Classic greek yogurt HEAVENLY BLUSH,0.00,90.00,3.50,3.50,11.50,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00
ST047,Original yogurt drink HEAVENLY BLUSH,0.00,50.00,2.00,1.00,8.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00
ST048,Raspberry tummy yogurt HEAVENLY BLUSH,0.00,88.89,2.22,1.39,16.67,6.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11
ST049,Original yogurt drink CIMORY,0.00,75.00,1.50,1.75,13.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50
ST050,Blueberry yogurt drink BIOKUL,0.00,60.00,2.00,0.33,12.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00
ST051,Strawberry yogurt drink BIOKUL,0.00,66.67,2.00,0.67,12.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.33
ST052,Classic MAGNUM,0.00,266.67,3.33,14.44,33.33,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
ST053,White almond MAGNUM,0.00,287.50,3.75,17.50,28.75,3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.25
ST054,Choco magma PADDLE POP,0.00,127.27,1.82,4.55,21.82,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.55
ST055,Feast vanilla WALL'S,0.00,215.38,3.08,12.31,23.08,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
ST056,Chocolate CORNETTO,0.00,216.67,2.50,10.00,28.33,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.33
ST057,Oreo CORNETTO,0.00,218.18,1.82,10.00,30.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18
ST058,Vanilla cone,0.00,165.83,4.52,4.52,26.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.09
ST059,Mocha moolatte,0.00,118.61,2.04,4.50,18.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.75
ST060,Hot fudge sundae,0.00,183.76,3.85,6.41,28.21,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22
ST061,Chocolate dipped cone,0.00,209.09,4.09,10.00,26.82,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.55
ST062,Oreo cookie blizzard,0.00,217.88,4.19,8.10,32.68,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.46
ST063,Banana split,0.00,139.04,2.41,3.74,24.60,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.25
ST064,Kental manis FRISIAN FLAG,0.00,350.00,2.50,10.00,57.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.50
ST065,Cokelat FRISIAN FLAG,0.00,337.50,2.50,11.25,57.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.50
ST066,Full cream gold FRISIAN FLAG,0.00,325.00,7.50,8.75,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.50
ST067,Krimer kental manis NESTLE CARNATION,0.00,344.83,3.45,10.34,58.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.17
ST068,Kental manis INDOMILK,0.00,324.32,2.70,9.46,56.76,5.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.35
ST069,Kental manis CAP ENAK,0.00,324.32,2.70,10.81,56.76,5.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.35
DM001,Sarden saus tomat MAYA,0.00,80.00,13.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DM002,Ikan mackerel saus tomat AYAM BRAND,0.00,185.71,18.57,11.43,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43
DM003,Sarden sambal bangkok KING/S FISHER,0.00,116.67,13.33,3.33,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DM004,Makarel saus tomat MAYA,0.00,100.00,16.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DM005,Sardines saus tomat ABC,0.00,142.86,17.14,2.86,12.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86
DM006,Sarden goreng balado KING'S FISHER,0.00,200.00,13.33,13.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DM007,Tuna dalam air AYAM BRAND,0.00,116.28,30.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DM008,Tuna dalam minyak AYAM BRAND,0.00,162.79,20.93,8.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DM009,Chilli tuna AYAM BRAND,0.00,217.39,17.39,13.04,6.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35
DM010,Kornet ayam PRONAS,0.00,140.00,10.00,6.00,10.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DM011,Kornet sapi PRONAS,0.00,160.00,12.00,7.00,10.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
DM012,Chicken luncheon PRONAS,0.00,160.00,8.00,12.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB001,Chicken nugget SO GOOD,0.00,250.00,16.00,14.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB002,Chicken stick SO GOOD,0.00,250.00,13.00,17.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB003,Chicken KARAGE SO GOOD,0.00,300.00,12.00,18.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB004,Chicken wings SO GOOD,0.00,220.00,20.00,14.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB005,Chicken sausage SO GOOD,0.00,183.33,15.00,11.67,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB006,Bakso sapi kuah,0.00,133.33,6.67,4.17,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB007,Mantou plain EDO,0.00,300.00,5.00,2.50,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
PB008,Mantou rasa cokelat EDO,0.00,300.00,7.50,3.75,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
PB009,Mini pau kacang merah EDO,0.00,320.00,8.00,6.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00
PB010,Pancake original EDO,0.00,290.91,7.27,12.73,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.55
PB011,Puff pastry sheet EDO,0.00,400.00,6.00,26.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
PB012,Pizza base EDO,0.00,275.00,7.50,2.50,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SM001,Coffe candy KOPIKO,0.00,444.44,0.00,11.11,88.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67
SM002,Fruits FOX'S,0.00,333.33,0.00,0.00,88.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67
SM003,Milk candy UHA,0.00,500.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67
SM004,Barley mint flavor RELAXA,0.00,400.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00
SM005,Original herb RICOLA,0.00,400.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SM006,Original FISHERMAN'S FRIEND,0.00,0.00,0.00,0.00,86.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SM007,Almond SILVERQUEEN,0.00,566.67,13.33,36.67,46.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.67
SM008,Dairy milk chocolate CADBURY,0.00,533.33,6.67,30.00,60.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00
SM009,Chunky almond bar SILVERQUEEN,0.00,566.67,10.00,36.67,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
SM010,Whole almonds RITTER SPORT,0.00,560.00,12.00,36.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00
SM011,Dairy milk DELFI,0.00,555.56,7.41,33.33,55.56,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.44
SM012,Toblerone,0.00,520.00,4.00,28.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
SM013,Energi bar FITBAR,0.00,375.00,12.50,10.42,58.33,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67
SM014,Energi bar HEAVENLY BLUSH,0.00,360.00,8.00,10.00,60.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
SM015,Energi bar SNICKERS,0.00,500.00,10.00,25.00,60.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.71
SM016,Energi bar L-MEN,0.00,400.00,12.00,10.00,68.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00
SM017,Energi bar WRP,0.00,400.00,5.00,17.50,70.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00
SM018,Energi bar SOYJOY,0.00,500.00,16.67,30.00,40.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.33
SM019,POCKY chocolate,0.00,489.36,6.38,21.28,68.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.53
SM020,POCKY doublechoco,0.00,510.64,8.51,25.53,61.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.15
SM021,POCKY cookies & cream,0.00,525.00,7.50,25.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.50
SM022,POCKY strawberry,0.00,488.89,6.67,22.22,68.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
SM023,POCKY choco banana,0.00,523.81,7.14,23.81,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57
SM024,POCKY matcha,0.00,484.85,9.09,21.21,69.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.30
SM025,TIMTAM chocolate,0.00,500.00,6.67,23.33,70.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.67
SM026,NISSIN chocolate wafers,0.00,560.00,8.00,36.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00
SM027,LOACKER chocolate,0.00,511.00,7.70,26.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00
SM028,WALENS choco soes,0.00,560.00,8.00,32.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00
SM029,SELAMAT WAFER chocolate,0.00,533.33,6.67,26.67,63.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
SM030,TANGO chocolate,0.00,500.00,5.00,20.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
SM031,OREO snack biskuit,0.00,476.19,3.40,20.41,71.43,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.41
SM032,LOTTE choco pie,0.00,428.57,3.57,16.07,67.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.71
SM033,SERENA egg rolls chocolate,0.00,571.43,7.14,32.14,57.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57
SM034,GOOD TIME double chocochips,0.00,500.00,6.25,21.88,68.75,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
SM035,MEIJI hello panda chocolate,0.00,511.11,6.67,22.22,66.67,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.67
SM036,ROMA malkist crackers,0.00,444.44,7.41,16.67,70.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11
SM037,NISSIN criskpy crackers,0.00,500.00,6.67,20.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
SM038,GERRY SALUUT malkist chocolate,0.00,464.29,7.14,17.86,67.86,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.86
SM039,KHONG GUAN malkist abon,0.00,444.44,11.11,16.67,72.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67
SM040,KHONG GUAN saltcheese,0.00,500.00,6.25,25.00,62.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50
SM041,KHONG GUAN malkist seaweed,0.00,500.00,5.56,19.44,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11
SM042,DUA KELINCI kacang garing,0.00,640.00,32.00,48.00,16.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
SM043,DUA KELINCI sukro,0.00,520.00,8.00,28.00,60.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
SM044,DUA KELINCI kacang polong,0.00,480.00,12.00,20.00,60.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SM045,MR.P garlic peanuts,0.00,600.00,15.00,42.50,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
SM046,MR.P cashewnuts,0.00,375.00,17.50,30.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50
SM047,MR.P honey peanuts,0.00,600.00,28.00,48.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00
SM048,CHITATO fresh potato,0.00,550.00,5.00,30.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SM049,CHEETOS jagung bakar,0.00,500.00,10.00,30.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SM050,LAY'S krim & bawang,0.00,550.00,10.00,30.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SM051,WRP deli chips,0.00,525.00,2.50,27.50,65.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50
SM052,TARO NET seaweed,0.00,450.00,5.00,20.00,70.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
SM053,DORITOS barbeque,0.00,500.00,10.00,22.50,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
SM054,KUSUKA keripik singkong,0.00,500.00,0.00,22.50,70.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
SM055,KUSUKA keripik ubi,0.00,550.00,5.00,35.00,60.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
SM056,KUSUKA keripik emping,0.00,560.00,8.00,36.00,52.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
SM057,QTELA singkong original,0.00,500.00,0.00,25.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
SM058,QTELA ubi ungu original,0.00,500.00,0.00,25.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
SM059,QTELA tempe original,0.00,550.00,20.00,35.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SM060,KOKOKRUNCH sereal,0.00,366.67,6.67,3.33,76.67,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
SM061,HONEYSTARS sereal,0.00,366.67,3.33,1.67,83.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.67
SM062,MILO sereal,0.00,366.67,6.67,3.33,76.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
SM063,CORN FLAKES sereal,0.00,366.67,6.67,0.00,86.67,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
SM064,FROOT LOOPS sereal,0.00,400.00,6.67,1.67,86.67,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.67
SM065,COCOPOPS sereal,0.00,400.00,6.67,1.67,86.67,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
SM066,QUAKER instant oatmeal,0.00,400.00,11.43,8.57,68.57,8.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SM067,QUAKER kari ayam,0.00,392.86,14.29,8.93,64.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SM068,QUAKER oat cereal drink 3 in 1,0.00,413.79,3.45,10.34,75.86,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.93
SM069,NESTLE nestum,0.00,406.25,9.38,4.69,84.38,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.13
SM070,ENERGEN oat milk mix berries,0.00,416.67,12.50,8.33,66.67,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17
SM071,ENERGEN sereal coklat,0.00,448.28,3.45,12.07,79.31,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.62
SM072,POP MIE kuah pedas dower,0.00,480.00,8.00,21.33,61.33,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33
SM073,POP MIE mie goreng pedas,0.00,462.50,7.50,21.25,61.25,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
SM074,POP MIE kari ayam,0.00,466.67,9.33,21.33,60.00,5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33
SM075,ABC SELERA PEDAS hot gulai chicken,0.00,450.00,11.67,20.00,56.67,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67
SM076,NONG SHIM CUP NOODLES shin ramyun,0.00,429.17,8.33,15.14,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.64
SM077,NISSIN CUP NOODLES,0.00,413.33,9.33,12.00,68.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00
SM078,INDOMIE mi goreng jumbo,0.00,434.11,10.08,16.28,62.02,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.08
SM079,INDOMIE Mi goreng ,0.00,447.06,9.41,16.47,63.53,2.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.41
SM080,INDOMIE mi kuah,0.00,434.78,10.14,15.94,62.32,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35
